voc_id,customer_id,received_date,channel,voc_type,category,content,sentiment
V0023,C009,2024-11-12,SNS,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0024,C009,2024-07-19,이메일,제안,품질,품질 관련하여 제안 사항을 전달드립니다.,중립
V0025,C009,2024-11-13,이메일,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0026,C010,2024-07-20,고객센터전화,불만,앱기능,로그인이 계속 풀려요. 생체인증이 제대로 작동하지 않아요.,부정
V0027,C010,2024-07-07,SNS,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0028,C010,2024-03-22,고객센터전화,불만,앱기능,로그인이 계속 풀려요. 생체인증이 제대로 작동하지 않아요.,부정
V0029,C010,2024-11-23,이메일,제안,서비스,장기 고객에게 특별 혜택을 주는 프로그램이 있으면 좋겠어요.,중립
V0030,C011,2024-08-07,고객센터전화,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0031,C011,2024-11-06,SNS,문의,요금,가족결합 할인은 어떻게 신청하나요?,중립
V0032,C011,2024-07-16,SNS,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0033,C011,2024-07-19,고객센터전화,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0034,C011,2024-06-01,앱리뷰,문의,요금,포인트를 요금에서 차감할 수 있는지 궁금합니다.,중립
V0035,C011,2024-02-21,앱리뷰,불만,앱기능,로그인이 계속 풀려요. 생체인증이 제대로 작동하지 않아요.,부정
V0036,C011,2024-02-13,앱리뷰,불만,해지관련,해지 신청 후에도 요금이 계속 청구되고 있어요.,부정
V0037,C012,2024-04-20,이메일,문의,앱기능,앱기능 관련하여 문의 사항을 전달드립니다.,중립
V0038,C012,2024-09-09,고객센터전화,문의,해지관련,해지관련 관련하여 문의 사항을 전달드립니다.,중립
V0039,C012,2024-10-21,앱리뷰,칭찬,요금,요금 관련하여 칭찬 사항을 전달드립니다.,긍정
V0040,C013,2024-01-19,앱리뷰,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0041,C013,2024-03-10,SNS,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0042,C013,2024-09-10,앱리뷰,불만,앱기능,앱이 자꾸 튕겨요. 업데이트 후부터 더 심해졌어요.,부정
V0043,C013,2024-01-04,고객센터전화,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0044,C014,2024-02-01,앱리뷰,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0045,C015,2024-10-20,SNS,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0046,C016,2024-03-28,SNS,문의,서비스,명의변경 절차가 어떻게 되나요?,중립
V0047,C017,2024-08-28,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0048,C017,2024-08-21,고객센터전화,문의,서비스,해외 로밍 서비스 신청 방법이 궁금합니다.,중립
V0049,C017,2024-10-17,고객센터전화,불만,해지관련,해지하려는데 위약금 설명이 너무 복잡해요. 명확하게 알려주세요.,부정
V0050,C018,2024-07-24,앱리뷰,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0051,C018,2024-04-06,SNS,제안,해지관련,해지관련 관련하여 제안 사항을 전달드립니다.,중립
V0052,C018,2024-09-13,이메일,칭찬,요금,요금 관련하여 칭찬 사항을 전달드립니다.,긍정
V0053,C019,2024-11-03,SNS,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0054,C019,2024-02-08,고객센터전화,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0055,C019,2024-07-26,이메일,제안,해지관련,해지관련 관련하여 제안 사항을 전달드립니다.,중립
V0056,C020,2024-12-02,고객센터전화,문의,요금,이번 달 요금이 어떻게 구성된 건지 자세히 알고 싶어요.,중립
V0057,C020,2024-10-26,고객센터전화,칭찬,기타,기타 관련하여 칭찬 사항을 전달드립니다.,긍정
V0058,C020,2024-10-28,앱리뷰,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0059,C021,2024-12-25,고객센터전화,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0060,C021,2024-04-28,고객센터전화,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0061,C021,2024-06-21,앱리뷰,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0062,C021,2024-08-14,이메일,제안,서비스,고객 등급제를 도입해서 충성 고객에게 혜택을 줬으면 해요.,중립
V0063,C022,2024-06-14,앱리뷰,불만,서비스,해지하려고 전화했더니 계속 다른 팀으로 돌리기만 해요.,부정
V0064,C023,2024-09-23,앱리뷰,불만,해지관련,해지 신청 후에도 요금이 계속 청구되고 있어요.,부정
V0065,C023,2024-06-06,이메일,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0066,C023,2024-10-05,앱리뷰,불만,앱기능,로그인이 계속 풀려요. 생체인증이 제대로 작동하지 않아요.,부정
V0067,C023,2024-10-02,앱리뷰,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0068,C023,2024-09-15,앱리뷰,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0069,C024,2024-11-21,고객센터전화,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0070,C024,2024-05-10,앱리뷰,제안,해지관련,해지관련 관련하여 제안 사항을 전달드립니다.,중립
V0071,C025,2024-11-25,앱리뷰,제안,서비스,생일 축하 데이터 보너스 같은 이벤트를 해주세요.,중립
V0072,C025,2024-12-06,앱리뷰,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0073,C025,2024-11-21,이메일,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0074,C025,2024-10-16,고객센터전화,제안,기타,기타 관련하여 제안 사항을 전달드립니다.,중립
V0075,C026,2024-05-30,앱리뷰,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0076,C026,2024-02-17,앱리뷰,제안,품질,품질 관련하여 제안 사항을 전달드립니다.,중립
V0077,C026,2024-07-12,이메일,불만,앱기능,로그인이 계속 풀려요. 생체인증이 제대로 작동하지 않아요.,부정
V0078,C027,2024-12-26,고객센터전화,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0079,C027,2024-05-02,고객센터전화,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0080,C028,2024-08-20,이메일,문의,요금,이번 달 요금이 어떻게 구성된 건지 자세히 알고 싶어요.,중립
V0081,C028,2024-03-16,이메일,불만,해지관련,해지 신청 후에도 요금이 계속 청구되고 있어요.,부정
V0082,C029,2024-12-11,앱리뷰,불만,서비스,해지하려고 전화했더니 계속 다른 팀으로 돌리기만 해요.,부정
V0083,C030,2024-03-28,앱리뷰,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0084,C030,2024-10-08,고객센터전화,제안,품질,품질 관련하여 제안 사항을 전달드립니다.,중립
V0085,C030,2024-01-18,고객센터전화,제안,서비스,장기 고객에게 특별 혜택을 주는 프로그램이 있으면 좋겠어요.,중립
V0086,C031,2024-11-27,고객센터전화,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0087,C031,2024-09-07,앱리뷰,불만,해지관련,해지하려는데 위약금 설명이 너무 복잡해요. 명확하게 알려주세요.,부정
V0088,C031,2024-09-06,고객센터전화,불만,해지관련,번호이동 신청했는데 일주일이 지나도 진행이 안 되고 있어요.,부정
V0089,C031,2024-07-01,앱리뷰,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0090,C032,2024-11-25,이메일,불만,해지관련,해지하려는데 위약금 설명이 너무 복잡해요. 명확하게 알려주세요.,부정
V0091,C032,2024-12-13,고객센터전화,불만,서비스,해지하려고 전화했더니 계속 다른 팀으로 돌리기만 해요.,부정
V0092,C032,2024-06-05,앱리뷰,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0093,C032,2024-11-10,고객센터전화,불만,해지관련,해지하려는데 위약금 설명이 너무 복잡해요. 명확하게 알려주세요.,부정
V0094,C033,2024-06-19,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0095,C034,2024-06-27,앱리뷰,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0096,C035,2024-03-29,이메일,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0097,C035,2024-09-22,이메일,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0098,C036,2024-03-12,이메일,문의,서비스,명의변경 절차가 어떻게 되나요?,중립
V0099,C037,2024-07-18,고객센터전화,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0100,C037,2024-01-13,고객센터전화,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0101,C037,2024-08-20,고객센터전화,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0102,C037,2024-01-14,앱리뷰,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0103,C038,2024-05-23,앱리뷰,칭찬,품질,품질 관련하여 칭찬 사항을 전달드립니다.,긍정
V0104,C038,2024-04-23,고객센터전화,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0105,C039,2024-06-06,고객센터전화,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0106,C040,2024-06-18,고객센터전화,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0107,C041,2024-04-11,이메일,불만,앱기능,로그인이 계속 풀려요. 생체인증이 제대로 작동하지 않아요.,부정
V0108,C041,2024-04-25,SNS,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0109,C041,2024-12-29,이메일,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0110,C042,2024-04-22,SNS,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0111,C043,2024-06-05,고객센터전화,불만,해지관련,해지 신청 후에도 요금이 계속 청구되고 있어요.,부정
V0112,C045,2024-07-15,고객센터전화,칭찬,서비스,앱 업데이트 후 많이 편해졌어요. 개발팀 수고하셨습니다.,긍정
V0113,C045,2024-12-20,앱리뷰,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0114,C045,2024-01-17,앱리뷰,제안,앱기능,요금 명세서를 그래프로 보여주는 기능이 있으면 좋겠어요.,중립
V0115,C045,2024-04-30,앱리뷰,제안,서비스,고객 등급제를 도입해서 충성 고객에게 혜택을 줬으면 해요.,중립
V0116,C046,2024-09-22,이메일,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0117,C046,2024-05-08,고객센터전화,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0118,C046,2024-06-07,앱리뷰,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0119,C046,2024-07-08,앱리뷰,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0120,C047,2024-01-05,이메일,제안,품질,품질 관련하여 제안 사항을 전달드립니다.,중립
V0121,C048,2024-12-09,앱리뷰,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0122,C048,2024-09-29,이메일,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0123,C048,2024-01-24,앱리뷰,제안,품질,품질 관련하여 제안 사항을 전달드립니다.,중립
V0124,C049,2024-09-30,SNS,불만,해지관련,번호이동 신청했는데 일주일이 지나도 진행이 안 되고 있어요.,부정
V0125,C049,2024-11-05,SNS,제안,서비스,생일 축하 데이터 보너스 같은 이벤트를 해주세요.,중립
V0126,C050,2024-03-14,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0127,C050,2024-02-10,고객센터전화,칭찬,앱기능,앱기능 관련하여 칭찬 사항을 전달드립니다.,긍정
V0128,C050,2024-10-23,앱리뷰,칭찬,서비스,앱 업데이트 후 많이 편해졌어요. 개발팀 수고하셨습니다.,긍정
V0129,C051,2024-12-04,SNS,불만,서비스,해지하려고 전화했더니 계속 다른 팀으로 돌리기만 해요.,부정
V0130,C051,2024-11-20,앱리뷰,불만,해지관련,해지하려는데 위약금 설명이 너무 복잡해요. 명확하게 알려주세요.,부정
V0131,C052,2024-12-04,SNS,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0132,C052,2024-06-19,SNS,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0133,C052,2024-10-04,앱리뷰,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0134,C052,2024-08-28,이메일,불만,앱기능,로그인이 계속 풀려요. 생체인증이 제대로 작동하지 않아요.,부정
V0135,C053,2024-08-08,이메일,제안,기타,기타 관련하여 제안 사항을 전달드립니다.,중립
V0136,C053,2024-10-22,고객센터전화,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0137,C053,2024-04-18,SNS,문의,기타,기타 관련하여 문의 사항을 전달드립니다.,중립
V0138,C053,2024-04-08,고객센터전화,칭찬,품질,품질 관련하여 칭찬 사항을 전달드립니다.,긍정
V0139,C054,2024-08-27,이메일,문의,서비스,해외 로밍 서비스 신청 방법이 궁금합니다.,중립
V0140,C054,2024-02-28,앱리뷰,불만,해지관련,해지 신청 후에도 요금이 계속 청구되고 있어요.,부정
V0141,C054,2024-03-21,앱리뷰,칭찬,서비스,앱 업데이트 후 많이 편해졌어요. 개발팀 수고하셨습니다.,긍정
V0142,C055,2024-04-02,고객센터전화,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0143,C056,2024-12-09,고객센터전화,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0144,C056,2024-03-16,SNS,제안,기타,기타 관련하여 제안 사항을 전달드립니다.,중립
V0145,C056,2024-07-27,앱리뷰,칭찬,해지관련,해지관련 관련하여 칭찬 사항을 전달드립니다.,긍정
V0146,C056,2024-12-22,고객센터전화,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0147,C057,2024-08-21,앱리뷰,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0148,C057,2024-10-05,이메일,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0149,C057,2024-08-27,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0150,C060,2024-09-19,이메일,불만,앱기능,앱에서 요금 명세서를 찾을 수가 없어요. UI가 너무 불편해요.,부정
V0151,C060,2024-04-06,SNS,문의,앱기능,앱기능 관련하여 문의 사항을 전달드립니다.,중립
V0152,C060,2024-09-12,고객센터전화,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0153,C060,2024-04-21,SNS,제안,서비스,생일 축하 데이터 보너스 같은 이벤트를 해주세요.,중립
V0154,C061,2024-12-04,앱리뷰,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0155,C061,2024-12-13,고객센터전화,불만,해지관련,번호이동 신청했는데 일주일이 지나도 진행이 안 되고 있어요.,부정
V0156,C061,2024-02-20,이메일,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0157,C061,2024-03-05,앱리뷰,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0158,C061,2024-02-26,고객센터전화,불만,앱기능,앱이 자꾸 튕겨요. 업데이트 후부터 더 심해졌어요.,부정
V0159,C061,2024-02-24,고객센터전화,문의,해지관련,해지관련 관련하여 문의 사항을 전달드립니다.,중립
V0160,C061,2024-12-09,고객센터전화,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0161,C062,2024-06-03,SNS,불만,해지관련,번호이동 신청했는데 일주일이 지나도 진행이 안 되고 있어요.,부정
V0162,C063,2024-05-01,이메일,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0163,C064,2024-01-03,이메일,문의,요금,이번 달 요금이 어떻게 구성된 건지 자세히 알고 싶어요.,중립
V0164,C064,2024-03-31,이메일,문의,해지관련,해지관련 관련하여 문의 사항을 전달드립니다.,중립
V0165,C064,2024-08-15,SNS,불만,해지관련,번호이동 신청했는데 일주일이 지나도 진행이 안 되고 있어요.,부정
V0166,C064,2024-07-06,이메일,불만,해지관련,해지하려는데 위약금 설명이 너무 복잡해요. 명확하게 알려주세요.,부정
V0167,C064,2024-08-12,앱리뷰,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0168,C064,2024-01-18,앱리뷰,불만,서비스,해지하려고 전화했더니 계속 다른 팀으로 돌리기만 해요.,부정
V0169,C065,2024-09-30,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0170,C065,2024-06-06,앱리뷰,불만,서비스,해지하려고 전화했더니 계속 다른 팀으로 돌리기만 해요.,부정
V0171,C066,2024-10-27,앱리뷰,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0172,C066,2024-09-13,앱리뷰,칭찬,요금,요금 관련하여 칭찬 사항을 전달드립니다.,긍정
V0173,C067,2024-03-21,SNS,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0174,C067,2024-07-14,고객센터전화,칭찬,서비스,앱 업데이트 후 많이 편해졌어요. 개발팀 수고하셨습니다.,긍정
V0175,C067,2024-07-03,고객센터전화,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0176,C068,2024-09-10,앱리뷰,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0177,C068,2024-09-14,고객센터전화,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0178,C068,2024-09-10,앱리뷰,불만,해지관련,해지 신청 후에도 요금이 계속 청구되고 있어요.,부정
V0179,C068,2024-05-13,앱리뷰,제안,해지관련,해지관련 관련하여 제안 사항을 전달드립니다.,중립
V0180,C068,2024-11-25,이메일,제안,서비스,고객 등급제를 도입해서 충성 고객에게 혜택을 줬으면 해요.,중립
V0181,C069,2024-12-01,고객센터전화,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0182,C069,2024-04-07,고객센터전화,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0183,C069,2024-06-01,앱리뷰,문의,서비스,현재 가입된 부가서비스 목록을 어디서 확인하나요?,중립
V0184,C069,2024-03-11,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0185,C070,2024-03-20,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0186,C070,2024-01-08,SNS,문의,서비스,해외 로밍 서비스 신청 방법이 궁금합니다.,중립
V0187,C072,2024-01-27,SNS,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0188,C072,2024-11-29,앱리뷰,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0189,C072,2024-09-25,앱리뷰,불만,서비스,상담사를 기다리다가 30분이 지났는데 아직도 연결이 안 돼요.,부정
V0190,C073,2024-06-24,고객센터전화,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0191,C073,2024-12-28,앱리뷰,문의,서비스,명의변경 절차가 어떻게 되나요?,중립
V0192,C073,2024-04-14,이메일,불만,해지관련,해지 신청 후에도 요금이 계속 청구되고 있어요.,부정
V0193,C074,2024-10-27,고객센터전화,불만,품질,집에서 신호가 너무 약해요. 와이파이 없으면 데이터가 안 잡혀요.,부정
V0194,C074,2024-06-29,이메일,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0195,C074,2024-07-05,고객센터전화,제안,요금,요금 관련하여 제안 사항을 전달드립니다.,중립
V0196,C075,2024-10-06,앱리뷰,문의,기타,기타 관련하여 문의 사항을 전달드립니다.,중립
V0197,C076,2024-08-08,이메일,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0198,C076,2024-04-27,이메일,제안,품질,품질 관련하여 제안 사항을 전달드립니다.,중립
V0199,C077,2024-02-10,이메일,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0200,C078,2024-11-02,앱리뷰,칭찬,앱기능,앱기능 관련하여 칭찬 사항을 전달드립니다.,긍정
V0201,C078,2024-12-16,고객센터전화,불만,요금,자동이체가 제대로 안 되는데 연체료까지 붙었어요. 너무 황당합니다.,부정
V0202,C078,2024-12-08,고객센터전화,문의,요금,포인트를 요금에서 차감할 수 있는지 궁금합니다.,중립
V0203,C078,2024-11-07,고객센터전화,칭찬,해지관련,해지관련 관련하여 칭찬 사항을 전달드립니다.,긍정
V0204,C079,2024-12-31,앱리뷰,제안,해지관련,해지관련 관련하여 제안 사항을 전달드립니다.,중립
V0205,C079,2024-10-26,이메일,불만,기타,기타 관련하여 불만 사항을 전달드립니다.,부정
V0206,C080,2024-02-05,고객센터전화,문의,서비스,해외 로밍 서비스 신청 방법이 궁금합니다.,중립
V0207,C080,2024-12-22,고객센터전화,문의,요금,가족결합 할인은 어떻게 신청하나요?,중립
V0208,C080,2024-11-15,SNS,문의,서비스,해외 로밍 서비스 신청 방법이 궁금합니다.,중립
V0209,C080,2024-02-08,고객센터전화,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0210,C081,2024-03-13,고객센터전화,문의,서비스,해외 로밍 서비스 신청 방법이 궁금합니다.,중립
V0211,C081,2024-08-29,SNS,칭찬,앱기능,앱기능 관련하여 칭찬 사항을 전달드립니다.,긍정
V0212,C081,2024-10-24,SNS,제안,품질,품질 관련하여 제안 사항을 전달드립니다.,중립
V0213,C082,2024-09-17,고객센터전화,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0214,C083,2024-11-15,고객센터전화,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0215,C083,2024-05-05,앱리뷰,불만,서비스,같은 문제로 세 번째 전화하고 있어요. 매번 처음부터 설명해야 하나요?,부정
V0216,C083,2024-02-27,SNS,불만,앱기능,앱에서 요금 명세서를 찾을 수가 없어요. UI가 너무 불편해요.,부정
V0217,C084,2024-01-05,앱리뷰,문의,해지관련,해지관련 관련하여 문의 사항을 전달드립니다.,중립
V0218,C084,2024-07-30,앱리뷰,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0219,C084,2024-11-26,앱리뷰,불만,요금,요금제 변경했는데 다음 달에도 기존 요금이 청구됐어요. 환불해 주세요.,부정
V0220,C085,2024-06-23,이메일,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0221,C086,2024-02-01,앱리뷰,문의,품질,품질 관련하여 문의 사항을 전달드립니다.,중립
V0222,C087,2024-04-16,앱리뷰,불만,요금,이번 달 요금이 갑자기 많이 나왔어요. 설명 없이 올린 건가요?,부정
V0223,C087,2024-09-22,앱리뷰,불만,품질,통화 중에 자꾸 끊깁니다. 몇 번을 신고해도 나아지질 않네요.,부정
V0224,C088,2024-02-09,고객센터전화,불만,서비스,해지하려고 전화했더니 계속 다른 팀으로 돌리기만 해요.,부정
V0225,C088,2024-11-28,SNS,불만,품질,어제부터 데이터 속도가 너무 느려요. 거의 쓸 수가 없어요.,부정
V0226,C088,2024-09-30,이메일,불만,앱기능,앱이 자꾸 튕겨요. 업데이트 후부터 더 심해졌어요.,부정
